,source,page,date,title,body,tokenized,action,pair,duration
0,investing,1,2022-05-25,Dollar rises off of 1-month low ahead of Fed minutes, by john mccrank new york reuters the u.s. dollar snapped a two-day losing streak on wednesday ahead of the release of the minutes from the u.s. federal reserve's may meeting...,"['dollar', 'rise', '1-month', 'low', 'ahead', 'feed', 'minutes']",na,[],fivemin_counter
1,investing,1,2022-05-25,Analysis-As U.S. economy's exceptionalism fades so does the dollar, by tommy wilkes and saikat chatterjee london reuters the dollar's rally to two-decade highs appears to have stalled with doubts growing on whether the u.s. economy will prove...,"['analysis-as', 'u.s.', 'economy', ""'s"", 'exceptionalism', 'fade', 'dollar']",na,['usd'],fivemin_counter
2,investing,1,2022-05-25,Russia will start a pilot project for 'digital' rouble from April cbank,"
reuters russia will start a pilot project using its digital rouble with real customers and real transactions from april 2023 its central bank said on wednesday adding...","['russia', 'start', 'pilot', 'project', ""'digital"", ""'"", 'rouble', 'april', 'cbank']",na,[],fivemin_counter
3,investing,1,2022-05-25,Rouble firms to 4-yr high vs dollar as Russian debt payment licence expires, reuters the russian rouble firmed past 56 against the dollar on wednesday for the first time since 2018 and touched a seven-year high against the euro as export-focused...,"['rouble', 'firm', '4-yr', 'high', 'vs', 'dollar', 'russian', 'debt', 'payment', 'licence', 'expire']",bull,[],fivemin_counter
4,investing,1,2022-05-25,Dollar Stabilizes but Hikes Elsewhere Point to Further Weakness,"by geoffrey smith
investing.com -the dollar stabilized in early trade on wednesday after falling on tuesday as a collapse in new home sales and a slump in social media stocks...","['dollar', 'stabilize', 'hike', 'elsewhere', 'point', 'weakness']",na,[],fivemin_counter
5,investing,1,2022-05-25,Dollar Up Ahead of the Fed Minutes Release,"by gina lee
investing.com – the dollar was up on wednesday morning in asia as investors awaited minutes from the last u.s. federal reserve meeting.
the u.s. dollar index that...","['dollar', 'ahead', 'feed', 'minutes', 'release']",na,[],fivemin_counter
6,investing,1,2022-05-25,Dollar Bulls on Ice as Bets for Fed Pause on Rate Hikes Gather Pace,"by yasin ebrahim 
investing.com -the melt-up in dollar has come unstuck recently as the odds of the federal reserve putting its rate hike mission on ice later this year gather...","['dollar', 'bull', 'ice', 'bet', 'feed', 'pause', 'rate', 'hike', 'gather', 'pace']",na,[],fivemin_counter
7,investing,1,2022-05-25,Dollar at one-month low as Lagarde comments lift euro, by john mccrank new york reuters the u.s. dollar index hit nearly a one-month low on tuesday after european central bank president christine lagarde said euro zone interest...,"['dollar', 'one-month', 'low', 'lagarde', 'comment', 'lift', 'euro']",bear,['eur'],fivemin_counter
8,investing,1,2022-05-24,Russian rouble firms past 57 to the dollar for first time in four years, reuters -the russian rouble strengthened to levels not seen since march 2018 against the dollar on tuesday boosted by export-focused companies selling foreign currency to pay...,"['russian', 'rouble', 'firm', 'past', '57', 'dollar', 'first', 'time', 'four', 'years']",na,[],fivemin_counter
9,investing,1,2022-05-24,Pound Tumbles as Rate-Hike Bets Cut on Renewed Recession Fears,bloomberg -the pound tumbled and investors rushed to the safety of government bonds after an index of uk private sector growth unexpectedly slid in may to reawaken fears of a...,"['pound', 'tumble', 'rate-hike', 'bet', 'cut', 'renew', 'recession', 'fear']",bear,['gbp'],fivemin_counter
10,investing,1,2022-05-24,Dollar Weakens After Lagarde Props Up Euro Risk-Off Tone Still Dominant,"by geoffrey smith
investing.com -the dollar fell again in morning trade in europe after european central bank president christine lagarde chose not to rule out a 50 basis point...","['dollar', 'weaken', 'lagarde', 'prop', 'euro', 'risk-off', 'tone', 'still', 'dominant']",na,['eur'],fivemin_counter
11,investing,1,2022-05-24,Dollar Up but Small Signs of Economic Recovery Limits Gains,"by gina lee
investing.com – the dollar was up on tuesday morning in asia. the safe-haven asset clawed back some of its overnight losses and the yen also strengthened as u.s....","['dollar', 'small', 'sign', 'economic', 'recovery', 'limit', 'gain']",bull,[],fivemin_counter
12,investing,1,2022-05-23,Euro climbs as ECB eyes rate hikes dollar slides, by sinéad carew new york reuters the dollar index fell on monday while the euro rallied after the european central bank indicated a move from negative interest rates and...,"['euro', 'climb', 'ecb', 'eye', 'rate', 'hike', 'dollar', 'slide']",na,['eur'],fivemin_counter
13,investing,1,2022-05-23,Russia cuts mandatory FX conversion level for exporters to 50, reuters russia is cutting the proportion of foreign currency revenues that exporters must convert into roubles to 50 from 80 the finance ministry said on monday after the...,"['russia', 'cut', 'mandatory', 'fx', 'conversion', 'level', 'exporters', '50']",na,[],fivemin_counter
14,investing,1,2022-05-23,Ruble Hits 4-Year High as Energy Exports Fill Current Account,"by geoffrey smith 
investing.com -the russian ruble surged again to a new four-year high on monday as the weight of foreign inflows generated by its energy exports continued to...","['ruble', 'hit', '4-year', 'high', 'energy', 'export', 'fill', 'current', 'account']",bull,[],fivemin_counter
15,investing,1,2022-05-23,Russian rouble leaps to near 7-year high vs euro, reuters -the russian rouble firmed more than 6 against the euro on monday to a near seven-year high boosted by capital controls strong oil prices and an upcoming month-end...,"['russian', 'rouble', 'leap', 'near', '7-year', 'high', 'vs', 'euro']",bull,['eur'],fivemin_counter
16,investing,1,2022-05-23,Biden Says He’ll Review Trump’s China Tariffs Fueling Yuan Rally,bloomberg -us president joe biden said he’ll review trump-era tariffs imposed on imports from china amid growing calls from businesses to remove the levies fueling a rally in...,"['biden', 'say', '’', 'review', 'trump', '’', 'china', 'tariff', 'fuel', 'yuan', 'rally']",na,[],fivemin_counter
17,investing,1,2022-05-23,Dollar Slips Risk Sentiment on the Rise,"by peter nurse
investing.com the u.s. dollar weakened in early european trade monday with risk sentiment boosted by hopes that loosening lockdowns in china can help global...","['dollar', 'slip', 'risk', 'sentiment', 'rise']",na,[],fivemin_counter
18,investing,1,2022-05-22,Dollar Down Investors Cut Bets on Further Dollar Gains,"by gina lee
investing.com – the dollar was down on monday morning in asia as investors cut bets on further gains from rising u.s. interest rates and hoped that loosening lockdowns...","['dollar', 'investors', 'cut', 'bet', 'dollar', 'gain']",bull,[],fivemin_counter
19,investing,1,2022-05-20,U.S. dollar net long bets slip bitcoin futures surge-CFTC Reuters data, new york reuters speculators' net long positioning on the u.s. dollar slipped after hitting their highest level since late november in the previous week according to...,"['u.s.', 'dollar', 'net', 'long', 'bet', 'slip', 'bitcoin', 'futures', 'surge-cftc', 'reuters', 'data']",bear,['usd'],fivemin_counter
20,investing,1,2022-05-20,Dollar catches a break after bruising week as investors turn risk averse, by saqib iqbal ahmed new york reuters the u.s. dollar rose against the euro on friday as investor unease about the potential economic fallout from federal reserve's efforts...,"['dollar', 'catch', 'break', 'bruise', 'week', 'investors', 'turn', 'risk', 'averse']",na,[],fivemin_counter
