page,date,title,body,source
0,2022-05-25,Gold Price Forecast: XAU/USD slumps towards $1840s as traders book profits ahead of FOMC minutes,"Gold spot (XAU/USD) slides below the 20-day moving average (DMA) and accelerates towards the 200-DMA at $1839.66 on Wednesday, courtesy of a positive market mood. At the time of writing, XAU/USD is trading at $1844.98, down 1.10%.On Wednesday, the non-yielding metal, alongside other precious metals, falls as the greenback remains buoyant and jumps from weekly lows. The US Dollar Index, a gauge of the greenback’s value, is gaining 0.52%, currently at 102.300. Meanwhile, the US 10-year treasury yield is almost flat in the day, stationary at 2.752%, as market players wait for the Federal Reserve’s Open Market Committee May minutes.Sentiment-wise, market players shrugged off concerns that the Federal Reserve’s tightening cycle could cause a recession. Global equities are recording solid gains. Meanwhile, money market futures showed that investors are scaling back their bets on the Federal Funds Rate (FFR) for 2023, widely expected to finish around 3%, to just above the 2.50% threshold.On Tuesday, the Atlanta Fed President Raphael Bostic stated that the Fed might pause its tightening cycle once hiking rates to the 2% threshold so the central bank can witness how the economy behaves.Before Wall Street opened, the US economic docket unveiled housing data, which came mixed but tilted positively, albeit concerns that the US economy might hit a recession. At the same time, the Durable Goods Orders for April grew steadily but missed expectations. At around 18:00 GMT, the Federal Reserve would unveil its May minutes, giving traders additional clues regarding the US central bank monetary policy plans.In the week ahead, the US docket would feature GDP Estimate figures, Initial Jobless Claims, Pending Home Sales, and the Fed’s favorite measurement for inflation, the Personal Consumption Expenditure (PCE).On Wednesday, the XAU/USD remains downward pressured, tumbling below the 20-DMA and also threatening to slide beneath the trend-setter 200-DMA at $1839.66. It appears that Gold’s pullback could be some profit-taking ahead of the release of the FOMC minutes. However, any further hawkish reinforcement by the Fed’s minutes could send the yellow metal towards the aforementioned 200-DMA and beyond, targeting May lows around $1786.50.  ",fxstreet
0,2022-05-25,GBP/USD bounces from weekly lows and marches firmly above 1.2530s pre-FOMC minutes,"The British pound recovers some ground on Wednesday during the North American session, bouncing near weekly lows around 1.2480s and back above the 1.2500 figure. At 1.2545, the GBP/USD grinds higher due to an improved market mood.Invertors’ shrugged off Federal Reserve concerns that aggressive tightening might cause a recession. On Tuesday, Atlanta’s Fed President Raphael Bostic, who leans towards the hawkish end of the spectrum, sounded dovish, saying that the US central bank might pause its tightening cycle once rates hit the 2% threshold so the central bank can witness how the economy behaves.Meanwhile, global equities pare some of their weekly losses, reflecting the upbeat move while the greenback rises. The US Dollar Index, a measurement of the buck’s value against a basket of six currencies, reclaims the 102.000 mark, gaining 0.40%, putting a lid on the GBP/USD rally. The US 10-year Treasury yield remains flat around the 2.752% mark.The US economic docket featured housing data, which came in mixed but tilted positively, despite concerns about the US's growing economic outlook. Later, April’s Durable Goods Orders grew at a slower pace than foreseen but kept positive. At around 18:00 GMT, the Federal Reserve will unveil its May minutes, giving traders additional clues regarding the US central bank monetary policy plans.In the meantime, the Atlanta Fed GDP Now, the projection of US GDP for the second quarter, rose to 1.8%, lower than the previous reading, which came in at 2.1%.An absent UK docket leaves GBP/USD traders adrift to BoE-speak led by its Chief Economist Huw Pill. Earlier, Pill said that too much tightening runs the risk of getting stuck in a deep recession, but too little tightening runs the risk of inflation gaining self-sustaining momentum. Pill's remarks came a day after a raft of downbeat UK PMI data, which reignited fears about a UK economic slowdown, threatening to keep the central bank from further tightening monetary conditions.The GBP/USD is downward biased, albeit recovering some ground. Nevertheless, a solid resistance area looms at the May 4 daily highs near 1.2638, a resistance just shy of a four-month-old downsloping trendline that passes above 1.2700. That ceiling area would be difficult to overcome for GBP/USD bulls, but once cleared, a re-test of the 1.3000 area is on the cards. Otherwise, a break below 1.2470 would expose the major to further selling pressure that could send the pair for a re-test of the YTD lows at around 1.2155.  ",fxstreet
0,2022-05-25,NZD/USD flat on the day in the 0.6460s pre-Fed minutes releases after hawkish RBNZ-induced volatility,"NZD/USD gyrated with a 100 pip, 0.6410-0.6510ish range on Wednesday, initially boosted following a 50 bps rate hike and hawkish rate guidance from the RBNZ during Asia Pacific trade, only to be knocked back from highs amid a rebound from monthly lows in the US dollar. At current levels, the pair is trading flat on the day in the 0.6460s, though holds on to gains on the week of about 1.0%.To recap the recent RBNZ meeting, the bank raised interest rates from 1.5% to 2.0% as expected, but delivered much more hawkish rate guidance than forecast, predicting rates would end the year at 3.4% and rise as high as 3.95% by next September. That was a big jump from the bank’s previous forecast that rates would reach 2.2% by the end of this year and 3.4% by next September.RBNZ Governor Adrian Orr’s commentary was suitably hawkish. He pledged that the committee would continue raising interest rates until they reach a level where the bank is confident that inflationary pressures will be brought under control, after which rates might then be able to fall back a little. For what it's worth, economic consultancy Capital Economics said on Wednesday that they think the RBNZ’s aggressive tightening cycle will tip the New Zealand housing market into a downturn, and the RBNZ will end up cutting rates by the middle of 2023.Back to Wednesday’s price action; dip-buying has been attributed as behind the US dollar’s comeback on Wednesday after the DXY hit its lowest levels in nearly a month on Tuesday under 102.00. However, the buck has been knocked back a touch from earlier highs in wake of weaker-than-expected US Durable Goods Orders data for April. Analysts said the data showed a moderation of business investment at the start of Q2 probably as a result of hawkish Fed-induced tighter financial conditions.  Speaking of which, the main drivers for NZD/USD for the rest of the session will be remarks from Fed Vice Chair Lael Brainard from 16:15 GMT and then the release of the minutes from this month’s Fed meeting at 18:00 GMT. The minutes are expected to show strong support on the FOMC for Fed Chair Jerome Powell’s plans to lift rates expeditiously to neutral by the end of this year, with traders likely most interest in any difference of opinion on what should come next.Should the Fed pause and reassess, or continue hiking interest rates in order to tame inflation? Any preference towards the latter could see the buck supported, which might send NZD/USD back to the lower 0.6400s, where bears would then eye a test of the 21-Day Moving Average in the 0.6390s just below it.  ",fxstreet
0,2022-05-25,Silver Price Analysis: XAG/USD remains under $22.00 level pre-Fed minutes releases as 21DMA caps upside,"Spot silver (XAG/USD) prices were last trading just the south of the $22.00 level per troy ounce, with the 21-Day Moving Average at $22.04 still offering decent resistance and the precious metals also weighed amid a bounce from monthly lows in the US dollar in the run-up to the release of the minutes of this month’s FOMC meeting. Weaker than expected US Durable Goods Orders data for April, which showed a moderation of business investment at the start of Q2 probably as a result of hawkish Fed-induced tighter financial conditions, has helped XAG/USD recover from earlier session lows in the $21.70s, but silver still trades lower by about 0.7% on the day.The impact of tighter financial conditions was also evident in housing figures released on Tuesday that showed a steep drop in US New Home Sales in April. However, the biggest factor seemingly holding back economic activity in the US economy remains the sharp rise in inflation since the start of 2021. So long as inflation remains elevated, the US central bank may be forced to look through economic weakness. Traders will be closely scrutinising the upcoming minutes release for any commentary on how the Fed views the trade-off between weaker growth and elevated inflation.The minutes are expected to show that FOMC members stand firmly behind Chairman Jerome Powell’s plan to lift interest rates “expeditiously” back to neutral by the end of the year. Any debate over whether the Fed should then pause and assess, or continue lifting rates well into restrictive territory would be interesting. Preference for the latter (which would be hawkish) could well see the USD and US yields catch a bid, and this could weigh on silver.Indeed, silver’s failure to rally above its 21DMA is a sign that recent bullish momentum since the middle of the month that has seen XAG/USD bounce from the mid-$20.00s has started to fade. Traders will also be watching remarks from Fed Vice Chair Lael Brainard from 1615GMT, who is likely to stick to the Fed’s script. Silver bears will be hoping that hawkish vibes return and send XAG/USD back to monthly lows in the mid-$20.00s.  ",fxstreet
0,2022-05-25,"USD/CHF clings to gains amid stronger USD, lacks follow-through ahead of FOMC minutes","USD/CHF staged modest recovery from a one-month low amid resurgent USD demand.The risk-off mood underpinned the safe-haven CHF and kept a lid on any further gains.Investors look forward to the FOMC meeting minutes for a fresh directional impetus.The USD/CHF pair held on to its modest gains through the early North American session and was last seen trading just a few pips below the daily high, around the 0.9620-0.9625 region.The US dollar made a solid comeback and snapped a two-day losing streak to a nearly one-month low, which, in turn, assisted the USD/CHF pair to attract some buying on Wednesday. Repositioning trade ahead of the FOMC minutes turned out to be a key factor that prompted short-covering around the USD, which seemed unaffected by softer-than-expected US Durable Goods Orders data.That said, the prevalent risk-off environment extended some support to the safe-haven Swiss franc and kept a lid on any meaningful upside for the USD/CHF pair. Investors remain worried that a more aggressive move by major central banks to constrain inflation, the Russia-Ukraine war and the latest COVID-19 outbreak in China would pose challenges to the global economy.The worsening global economic outlook continued weighing on investors' sentiment, which was evident from a generally weaker tone around the equity markets. The anti-risk flow was reinforced by declining US Treasury bond yields. This might further hold back the USD bulls from placing aggressive bets and cap gains for the USD/CHF pair ahead of the key event risk.Given that a 50 bps Fed rate hike move is fully priced in, market participants will look for clues about the possibility of a jumbo 75 bps rate hike in June. This will play a key role in influencing the near-term USD price dynamics and provide a fresh directional impetus to the USD/CHF pair.  ",fxstreet
0,2022-05-25,EUR/USD: The sell-off runs out of steam in the 1.0640 region,"The sentiment around the single currency remains sour and prompts EUR/USD to keep the trade well south of the 1.0700 yardstick on Wednesday.EUR/USD corrects lower following a failed attempt to extend the daily range further north of the 1.0750 zone, sparking a subsequent correction of nearly one big figure to the vicinity of 1.0640.The renewed strength in the dollar sponsored the move lower in spot, which it has also met some help from lower yields on both sides of the ocean.No news from earlier comments from ECB-speakers, as practically all of them joined the summer rate hike narrative in place in the last couple of weeks.In the euro calendar, earlier results saw the German GDP Growth Rate expand 3.8% YoY in Q1 and the Consumer Confidence tracked by GfK improved marginally to -26 for the month of June. In France, the Consumer Confidence came in short of expectations in May at 86 (from April’s 87).Across the pond, MBA’s Mortgage Applications contracted 1.2% in the week to May 20 and headline Durable Goods Orders came in short of expectations after expanding 0.4% MoM in April.Next on tap will be the publication of the FOMC Minutes of the May meeting.The moderate rebound in the dollar puts the recent sharp upside in EUR/USD to the test, sparking a marked drop to the 1.0640 region so far.Despite the pair’s recent upside impulse, the broader outlook for the single currency remains in the negative territory for the time being. As usual, price action in spot should reflect dollar dynamics, geopolitical concerns and the Fed-ECB divergence.Occasional pockets of strength in the single currency, however, should appear reinforced by speculation the ECB could raise rates at some point in the summer, while higher German yields, elevated inflation and a decent pace of the economic recovery in the region are also supportive of an improvement in the mood around the euro.Key events in the euro area this week: Germany Final Q1 GDP, GfK Consumer Confidence, ECB Lagarde (Wednesday).Eminent issues on the back boiler: Speculation of the start of the hiking cycle by the ECB as soon as this summer. Asymmetric economic recovery post-pandemic in the euro area. Impact of the war in Ukraine on the region’s growth prospects.So far, spot is losing 0.60 at 1.0667 and a breach of 1.0459 (low May 18) would target 1.0348 (2022 low May 13) en route to 1.0340 (2017 low January 3 2017). On the other hand, the next up barrier aligns at 1.0748 (monthly high May 24) followed by 1.0779 (55-day SMA) and finally 1.0936 (weekly high April 21). ",fxstreet
0,2022-05-25,WTI continues to move sideways near $110 with focus on rising US demand as peak driving season nears,"Amid a subdued tone to macro trading conditions with markets in wait and see mode ahead of commentary from Fed Vice Chair Lael Brainard and the release of the minutes of this month’s Fed meeting, and amid a lack of any notable fundamental catalysts to spur volatility, oil prices are going sideways. Front-month WTI futures were last trading just to the north of $110, having spent the last three sessions pivoting either side of this level. That leaves prices around the midpoint of recent $105-$110 ranges.Market commentators continue to cite expectations for rising fuel demand in key markets (like the US) as peak driving season approaches as supportive of prices. Weekly US inventory data coming up at 1430GMT is expected to show another approximately 640K barrel drop in gasoline inventories following last week’s 4.8M barrel drop. That would mean that gasoline inventories have only in one week out of the 16 weeks since early February.“Just ahead of the summer driving season, U.S. gasoline stocks find themselves at their seasonally lowest level since 2014,” analysts at Commerzbank said on Wednesday. That drop in US gasoline inventories goes hand in hand with the recent sharp rise in US gasoline prices and reflects increasingly tight global market conditions as OPEC nations lift output only very slowly, and as Russian oil production struggles in the face of tough sanctions on the country following its invasion of Ukraine.Those sanctions on Russia look set to tighten in the weeks ahead. The EU hopes to agree on a plan to embargo Russian oil imports over the course of the next few months ahead of next week’s EU Council Summit meeting, EU Council President Charles Michel said on Wednesday. The US has already banned all Russian imports, while the UK will end imports by the end of the year. As a result, many global oil buyers have been “self-sanctioning” (i.e. avoiding Russian oil even in the absence of sanctions) out of fear that new sanctions may come.A Reuters report on Wednesday said that Russian oil stored in vessels at seas has hit a record high as the nation struggles to find buyers. Russian oil output is expected to have dropped by as much as 3M barrels per day as of this month versus the country’s pre-invasion of Ukraine levels.  ",fxstreet
0,2022-05-25,EUR/CAD to push towards 1.39/1.40 on a clear break above 1.3755 – Scotiabank,"EUR/CAD pressures key resistance in the mid-1.37s. A break above the latter would open up additional gains toward the 1.39/1.40 area, economists at Scotiabank report.“EUR/CAD price action reflects a clear reduction in bearish technical pressure. The EUR is nearing the mid-1.37 zone that has served as a cap on the market since early April; a break above this point – on a consistent basis – is needed to really signal a change in tone for the cross.”“We think a clear break above 1.3755 targets a push to 1.39/1.40.” ",fxstreet
0,2022-05-25,USD/CAD to slide back to the low 1.27 zone – Scotiabank,"USD/CAD retains a soft technical undertone. Economists at Scotiabank target low 1.27s.“We are focusing on the potential for the USD to slide back to the low 1.27 zone (1.2715 as the early May low and 1.2740 as the next Fibonacci retracement support) as a short-term objective. Below here and losses can be expected to extend to the 1.25/1.26 zone in the next few weeks, given the strength of the USD turn lower from the recent peaks.”“We look for USD losses to pick up some momentum below short-term support at 1.2765.” “We think minor USD gains through the low 1.28s are liable to draw out firm selling pressure.”  ",fxstreet
0,2022-05-25,"USD/CAD eases from multi-day peak, still well bid above mid-1.2800s ahead of FOMC minutes","The USD/CAD pair built on the previous day's modest bounce from over a two-week low, around the 1.2760 area and gained traction for the second successive day on Wednesday. The momentum pushed spot prices to a fresh weekly high, around the 1.2885 region during the early North American session and was sponsored by broad-based US dollar strength.The worsening outlook for the global economy continued weighing on investors' sentiment, which was evident from a generally weaker tone around the equity markets. This allowed the safe-haven USD to stage a solid recovery from the monthly low touched on Tuesday. Apart from this, some repositioning trade ahead of the key event risk on Wednesday prompted some USD short-covering and turned out to be a key factor that extended support to the USD/CAD pair.The anti-risk flow, along with the idea that the Fed could pause the rate hike cycle later this year, dragged the US Treasury bond yields to the lowest level in over a month. This, however, did little to dent the strong intraday bullish sentiment surrounding the USD, which also seemed rather unaffected by weaker US Durable Goods Orders data. That said, an uptick in crude oil prices could underpin the commodity-linked loonie and cap the USD/CAD pair.Investors might also be reluctant to place aggressive bets and prefer to wait for a fresh catalyst from the FOMC meeting minutes, due for release later during the US session. Market participants will look for clues about the possibility of a jumbo 75 bps Fed rate hike in June. This, in turn, will play a key role in driving the USD demand. Apart from this, crude oil price dynamics should produce short-term trading opportunities around the USD/CAD pair.  ",fxstreet
